#0	0.10915235070138778	0.2	0.17	0.068
1	0.16160046215070775	0.1	0.1	0.017
2	0.12940073032588476	0.1	0.09	0.038
3	0.11909869956617813	0.1	0.1	0.027
4	0.09650120483636572	0.1	0.1	0.054
5	0.10781006854636539	0.0	0.11	0.028
6	0.12037746652894626	0.1	0.11	0.055
7	0.10516261958010503	0.1	0.11	0.048
8	0.10744677295051629	0.1	0.12	0.025
9	0.16413886470987502	0.4	0.13	0.046
10	0.1342218432514028	0.3	0.09	0.047
11	0.11382738469676096	0.1	0.09	0.036
12	0.11530061252548421	0.2	0.11	0.05
13	0.1322729975789603	0.0	0.13	0.047
