1	0.313218734	0.49	0.293	0.1029	1	0.348821755	0.36	0.281	0.1054
2	0.480847656	0.57	0.466	0.2468	2	0.497578767	0.5	0.421	0.1703
3	0.359510038	0.39	0.356	0.1848	3	0.347853424	0.31	0.324	0.1913
4	0.377738003	0.51	0.283	0.117	4	0.361631847	0.39	0.256	0.0495
5	0.569205066	0.67	0.485	0.216	5	0.546277756	0.64	0.49	0.1734
6	0.501868954	0.65	0.485	0.2088	6	0.56162985	0.51	0.506	0.255
7	0.382350212	0.54	0.443	0.1437	7	0.384064401	0.44	0.423	0.1403
8	0.463055409	0.41	0.388	0.1401	8	0.422959905	0.39	0.365	0.1365
9	0.407286724	0.4	0.289	0.1369	9	0.421588699	0.43	0.32	0.1544
10	0.313429999	0.32	0.259	0.0662	10	0.311045232	0.27	0.289	0.0663
